date,month,year,observation,document,description,category,credit,debit,id,created_date,updated_date,created_by_id,created_by,is_sample
"2025-01-29","1","2025","Número do documento 07.17.25029.5208103-6
","7025200000000250129","Receita Federal","Fiscal","0","10375.39","69e65d808946810b8fcd116b","2026-04-20T17:08:16.011000","2026-04-20T17:08:16.011000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-03-27","3","2025","","PARCELA 0055 AC.205768837","Acordo Santander","Bancário","0","253.32","69876559b13e4eb2681bb4a6","2026-02-07T16:16:25.785000","2026-02-07T16:16:25.785000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-02-28","2","2025","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","PARC904412000963881821","Parcelamento REFIS","Fiscal","0","177.07","6987652fe2132346db497df8","2026-02-07T16:15:43.155000","2026-02-07T16:15:43.155000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-02-27","2","2025","","PARCELA 0054 AC.205768837","Acordo Santander","Bancário","0","253.32","69876514e1a12e82aa993427","2026-02-07T16:15:16.927000","2026-02-07T16:15:16.927000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-01-31","1","2025","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","PARC904412000963881821","Parcelamento REFIS","Fiscal","0","175.78","698764ed510a10f43f887b5d","2026-02-07T16:14:37.292000","2026-02-07T16:14:37.292000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-01-27","1","2025","","PARCELA 0053 AC.205768837","Acordo Santander","Bancário","0","253.32","698764a76d98bc0c6110b2b9","2026-02-07T16:13:27.380000","2026-02-07T16:13:27.380000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-12-08","12","2025","UPDF Pro","Invoice#: 241209001787","Ferramenta de PDF para elaboração de relatórios.","Administrativa","0","335","69876403b5384c5fc11d33f1","2026-02-07T16:10:43.185000","2026-02-07T16:10:43.185000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-12-05","12","2025","TJLP IRPF - PARCELAMENTO","Nº 1:  Nº 2:   "," IRPF - DECLARAÇÃO DE AJUSTE ANUAl","Fiscal","0","11171.34","6987630d462e7868b676709b","2026-02-07T16:06:37.917000","2026-02-07T16:06:37.917000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-12-30","12","2025","","","Rendimento Aplicação","Financeira","5923.51","0","698762d8039f47a57aaa3718","2026-02-07T16:05:44.976000","2026-02-07T16:05:44.976000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
"2025-11-30","11","2025","","","Rendimento Aplicação","Financeira","5661.13","0","698762a57aeafa97202a3cb4","2026-02-07T16:04:53.281000","2026-02-07T16:04:53.281000","6941772d55143a7b09d7edbd","sentinellabpo@gmail.com","false"
